ID;Nom;Prix (€);Qté;CA (€);Z-score
4635;Marcel Windholtz Eau de Vie de Kirsch d'Alsace Réserve Particulière;62,4;0,0;0,0;1,0751573169878377
6107;Stéphane Tissot Arbois Vin Jaune En Spois 2011;62,4;0,0;0,0;1,0751573169878377
4630;Marcel Windholtz Eau de Vie de Coing;62,4;4,0;249,6;1,0751573169878377
5027;"Champagne Agrapart &amp; Fils Terroirs Brut Blanc de Blancs Grand Cru";62,1;0,0;0,0;1,0643797585999362
4396;Wemyss Malts Blended Malt Scotch Whisky The Hive 12 ans;62,0;0,0;0,0;1,060787239137302
4597;Marc Colin Et Fils Chassagne-Montrachet Blanc Les Vide-Bourses 1er Cru 2016;61,6;2,0;123,2;1,0464171612867668
5544;Marc Colin Et Fils Chassagne-Montrachet Blanc Les Vide-Bourses 1er Cru 2016;61,6;0,0;0,0;1,0464171612867668
5523;Domaine Chambeyron Côte Rôtie Lancement 2017;60,4;1,0;60,4;1,00330692773516
4069;Gilles Robin Hermitage Rouge 2012;60,0;0,0;0,0;0,9889368498846246
4043;Pierre Gaillard Côte Rôtie Esprit de Blonde 2017;60,0;3,0;180,0;0,9889368498846246
5932;Cognac Normandin Mercier VFC;59,9;0,0;0,0;0,9853443304219907
5067;Albert Mann Pinot Noir Grand H 2017;59,9;16,0;958,4;0,9853443304219907
5068;Albert Mann Pinot Noir Grand P 2017;59,9;0,0;0,0;0,9853443304219907
4394;Wemyss Malts Blended Malt Scotch Whisky Treacle Chest;59,8;0,0;0,0;0,9817518109593567
5574;Domaine Huet Vouvray Le Mont Moelleux Première Trie 2008;59,6;0,0;0,0;0,974566772034089
4253;Domaine Huet Vouvray Le Clos du Bourg Moelleux Première Trie 2008;59,6;0,0;0,0;0,974566772034089
5004;David Duband Vosne Romanée 2017;59,4;2,0;118,8;0,9673817331088213
4348;Champagne Egly-Ouriet Grand Cru Brut Tradition;59,0;0,0;0,0;0,9530116552582858
4150;Champagne Mailly Grand Cru Intemporelle 2010;59,0;1,0;59,0;0,9530116552582858
4619;Alphonse Mellot Sancerre Rouge En Grands Champs 2012;59,0;0,0;0,0;0,9530116552582858
4398;Wemyss Malts Blended Malt Scotch Whisky Peat Chimney Batch Strength;59,0;0,0;0,0;0,9530116552582858
4399;Wemyss Malts Blended Malt Scotch Whisky Spice King Batch Strength;59,0;1,0;59,0;0,9530116552582858
4397;Wemyss Malts Blended Malt Scotch Whisky The Hive Batch Strength;59,0;0,0;0,0;0,9530116552582858
4213;Lucien Boillot Volnay 1er Cru Les Angles 2017;58,8;0,0;0,0;0,9458266163330179
4627;Marcel Windholtz Eau de Vie de Poire Williams Réserve Particulière;58,3;4,0;233,2;0,9278640190198485
5561;Tempier Bandol Migoua 2017;58,0;0,0;0,0;0,917086460631947
5563;Tempier Bandol Tourtine 2017;58,0;0,0;0,0;0,917086460631947
5552;Thierry Germain Saumur Blanc Clos Roman 2016;57,7;0,0;0,0;0,9063089022440454
5712;Albert Mann Gewurztraminer Vendanges Tardives Altenbourg 2015;57,6;1,0;57,6;0,9027163827814115
5817;Maison Trimbach Riesling Grand Cru Geisberg 2012;57,6;0,0;0,0;0,9027163827814115
4393;Wemyss Malts Blended Malt Scotch Whisky Vanilla Burst;57,0;0,0;0,0;0,8811612660056082
4616;Alphonse Mellot Sancerre Rouge La Demoiselle 2015;57,0;0,0;0,0;0,8811612660056082
5743;Domaine Clerget Vosne-Romanée Les Violettes 2015;57,0;0,0;0,0;0,8811612660056082
5912;Kingsbarns Distillery Lowland Single Malt Whisky;57,0;0,0;0,0;0,8811612660056082
5829;Agnès Levet Côte Rôtie Péroline 2017;57,0;3,0;171,0;0,8811612660056082
5615;"Albert Boxler Pinot Gris Grand Cru Sommerberg ""W"" 2016";56,4;0,0;0,0;0,8596061492298048
5967;Zind-Humbrecht Gewurztraminer Clos Windsbuhl 2012;56,3;0,0;0,0;0,8560136297671709
5819;Maison Trimbach Riesling Cuvée Frédéric Emile 2008;56,0;1,0;56,0;0,8452360713792694
5010;Domaine des Comtes Lafon Monthélie 1er Cru Les Duresses 2017;55,6;0,0;0,0;0,8308659935287339
4711;Albert Mann Riesling Grand Cru Schlossberg 2018;55,4;1,0;55,4;0,823680954603466
5827;Agnès Levet Côte Rôtie Maestria 2017;55,0;3,0;165,0;0,8093108767529306
5465;Clos du Mont-Olivet Châteauneuf-du-Pape 2007;54,8;3,0;164,4;0,8021258378276627
4908;Alphonse Mellot Sancerre Blanc Edmond 2016;53,2;4,0;212,8;0,7446455264255208
4142;Champagne Gosset Grand Millésime 2006;53,0;30,0;1590,0;0,737460487500253
4626;Marcel Windholtz Eau de Vie de Prunelle Sauvage;52,9;0,0;0,0;0,733867968037619
6632;Weingut Besson-Strasser Zürich Pinot Noir Chlosterberg 2016;52,7;1,0;52,7;0,7266829291123514
5061;Lucien Boillot Gevrey Chambertin Les Evocelles 2017;52,6;0,0;0,0;0,7230904096497175
4629;Marcel Windholtz Eau de Vie de Fraise;52,4;2,0;104,8;0,7159053707244496
4633;Marcel Windholtz Eau de Vie de Mirabelle d'Alsace Réserve Particulière;52,4;3,0;157,2;0,7159053707244496
4625;Marcel Windholtz Eau de Vie de Sureau;52,4;0,0;0,0;0,7159053707244496
4356;Champagne Egly-Ouriet Premier Cru Les Vignes de Vrigny;51,6;12,0;619,2;0,6871652150233787
6620;Domaine de La Tour Du Bon Bandol Rouge Saint Ferréol 2005;51,0;0,0;0,0;0,6656100982475753
6920;Château Jean Faure Saint-Emilion Grand Cru 2015;50,5;0,0;0,0;0,6476475009344059
6663;Catherine et Claude Maréchal Pommard La Chanière 2017;50,4;0,0;0,0;0,644054981471772
4606;Catherine et Claude Maréchal Volnay 2017;50,1;1,0;50,1;0,6332774230838705
4636;Marcel Windholtz Eau de Vie de Framboise d'Alsace;50,0;1,0;50,0;0,6296849036212365
4632;Marcel Windholtz Eau de Vie de Quetsch d'Alsace Réserve Particulière;50,0;0,0;0,0;0,6296849036212365
6926;Château Jean Faure Saint-Emilion Grand Cru 2016;49,9;1,0;49,9;0,6260923841586026
5925;Albert Mann Riesling Grand Cru Furstentum 2017;49,5;2,0;99,0;0,6117223063080671
4970;Champagne Larmandier-Bernier Terre de Vertus Premier Cru 2011;49,5;0,0;0,0;0,6117223063080671
4364;Wemyss Malts Blended Malt Scotch Whisky The Hive;49,5;1,0;49,5;0,6117223063080671
4392;Wemyss Malts Blended Malt Scotch Whisky Spice King;49,5;0,0;0,0;0,6117223063080671
5486;Decelle-Villa Meursault 2018;49,5;9,0;445,5;0,6117223063080671
4391;Wemyss Malts Blended Malt Scotch Whisky Peat Chimney;49,5;0,0;0,0;0,6117223063080671
4651;Thierry Germain Saumur Blanc Terres 2014;49,0;0,0;0,0;0,5937597089948977
4334;Champagne Gosset Grand Blanc de Blancs;49,0;96,0;4704,0;0,5937597089948977
4144;Champagne Gosset Grand Rosé;49,0;87,0;4263,0;0,5937597089948977
